,medallion, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude, fake_pickup_latitude, fake_pickup_longitude,pickup_walking_time, fake_dropoff_latitude, fake_dropoff_longitude,dropoff_walking_time
0,2010000001,2010-01-01 00:00:00,2010-01-01 00:34:00,1,34.0,14.05,-73.948418,40.72459,-73.92614,40.864761,40.723399,-73.949490,165.0,40.864900,-73.926074,8.0
1,2010000002,2010-01-01 00:00:00,2010-01-01 00:33:00,1,33.0,9.65,-73.997414,40.736156,-73.997833,40.736168,40.737318,-73.997559,152.0,40.735948,-73.998387,32.0
2,2010000003,2010-01-01 00:00:00,2010-01-01 00:07:00,1,7.0,1.63,-73.967171,40.764236,-73.956299,40.781261,40.765021,-73.968171,115.0,40.782162,-73.956886,115.0
3,2010000004,2010-01-01 00:00:00,2010-01-01 00:33:00,1,33.0,26.61,-73.789757,40.646526,-74.136749,40.601543,40.646509,-73.789214,28.0,40.600819,-74.137460,133.0
4,2010000005,2010-01-01 00:00:00,2010-01-01 00:28:00,2,28.0,3.15,-73.99955,40.731152,-73.977448,40.763031,40.732366,-73.999223,139.0,40.761675,-73.977743,177.0
5,2010000006,2010-01-01 00:00:00,2010-01-01 00:27:00,1,27.0,11.15,-73.993698,40.736946,-73.861435,40.756256,40.735898,-73.993794,123.0,40.755814,-73.862438,93.0
6,2010000007,2010-01-01 00:00:00,2010-01-01 00:18:00,3,18.0,4.3,-74.006058,40.739925,-73.95740500000001,40.765685999999995,40.740824,-74.004980,117.0,40.764459,-73.956774,126.0
7,2010000008,2010-01-01 00:00:00,2010-01-01 00:27:00,1,27.0,9.83,-73.874245,40.773739,-74.0028,40.760498,40.775079,-73.872755,143.0,40.759179,-74.003020,163.0
8,2010000009,2010-01-01 00:00:00,2010-01-01 00:18:13,1,18.22,3.4,-74.004868,40.751656,-73.988342,40.718399,40.751053,-74.006194,133.0,40.717758,-73.988420,73.0
9,2010000010,2010-01-01 00:00:02,2010-01-01 00:36:27,2,36.42,12.4,-73.95546,40.787731,-73.961739,40.666934999999995,40.787248,-73.954116,102.0,40.666212,-73.960720,89.0
10,2010000011,2010-01-01 00:00:02,2010-01-01 00:01:08,1,1.1,0.1,-73.992805,40.741417,-73.995796,40.742596,40.742509,-73.993590,151.0,40.742812,-73.995461,169.0
11,2010000012,2010-01-01 00:00:02,2010-01-01 00:14:15,1,14.22,6.6,-73.95184300000001,40.773678000000004,-74.005714,40.706718,40.773371,-73.951263,52.0,40.707200,-74.005131,69.0
12,2010000013,2010-01-01 00:00:02,2010-01-01 00:35:11,3,35.14,7.3,-74.003517,40.732494,-74.009224,40.715359,40.732881,-74.002160,86.0,40.715710,-74.009722,44.0
13,2010000014,2010-01-01 00:00:05,2010-01-01 00:02:50,1,2.75,0.5,-73.985153,40.719158,-73.99044,40.714077,40.719440,-73.984650,43.0,40.714534,-73.989688,111.0
14,2010000015,2010-01-01 00:00:07,2010-01-01 00:05:36,1,5.48,1.7,-73.981865,40.775318,-73.968941,40.797646,40.775235,-73.982179,13.0,40.797420,-73.970120,128.0
15,2010000016,2010-01-01 00:00:11,2010-01-01 00:10:34,2,10.38,1.8,-74.004601,40.740673,-73.98176600000001,40.748974,40.741068,-74.005286,61.0,40.747669,-73.981442,168.0
16,2010000017,2010-01-01 00:00:13,2010-01-01 00:17:54,1,17.68,4.7,-73.999512,40.728336,-73.949905,40.768562,40.726933,-74.000319,178.0,40.769166,-73.951342,108.0
17,2010000018,2010-01-01 00:00:13,2010-01-01 00:06:50,1,6.62,1.0,-74.004852,40.746834,-73.994949,40.743904,40.746269,-74.004836,57.0,40.745217,-73.995888,174.0
18,2010000019,2010-01-01 00:00:14,2010-01-01 00:28:43,4,28.48,5.0,-74.009186,40.713356,-73.973022,40.764114,40.714139,-74.008857,75.0,40.762682,-73.974309,163.0
19,2010000020,2010-01-01 00:00:17,2010-01-01 00:16:27,1,16.17,4.9,-73.97110699999999,40.762836,-73.889511,40.743282,40.762904,-73.972026,63.0,40.743496,-73.889464,83.0
20,2010000021,2010-01-01 00:00:17,2010-01-01 00:07:17,1,7.0,2.1,-73.969048,40.79076,-73.98556500000001,40.763634,40.789746,-73.969399,81.0,40.763914,-73.984545,116.0
21,2010000022,2010-01-01 00:00:17,2010-01-01 00:00:17,3,0.0,0.0,-73.87105600000001,40.773521,-73.871048,40.773544,40.774367,-73.869833,1.0,40.772482,-73.870838,0.0
22,2010000023,2010-01-01 00:00:18,2010-01-01 00:03:56,2,3.63,0.7,-73.962936,40.769436,-73.964478,40.775707000000004,40.768448,-73.962248,106.0,40.774341,-73.965653,125.0
23,2010000024,2010-01-01 00:00:19,2010-01-01 00:04:20,3,4.02,0.7,-73.99587199999999,40.738789000000004,-74.0028,40.733406,40.738226,-73.995684,42.0,40.733818,-74.004204,151.0
24,2010000025,2010-01-01 00:00:20,2010-01-01 00:00:20,1,0.0,0.05,-73.975128,40.789974,-73.974991,40.7906,40.790810,-73.974627,83.0,40.791763,-73.974386,111.0
25,2010000026,2010-01-01 00:00:20,2010-01-01 00:14:04,1,13.73,4.3,-73.98349,40.766018,-73.935181,40.800961,40.764742,-73.982557,169.0,40.801808,-73.935333,131.0
26,2010000027,2010-01-01 00:00:20,2010-01-01 00:22:53,1,22.55,6.1,-73.992271,40.749367,-73.940872,40.719212,40.747989,-73.991387,174.0,40.718043,-73.940685,141.0
27,2010000028,2010-01-01 00:00:23,2010-01-01 00:10:31,1,10.13,3.2,-73.936447,40.817516,-73.945335,40.836784,40.816042,-73.936559,139.0,40.836403,-73.945206,92.0
28,2010000029,2010-01-01 00:00:23,2010-01-01 00:00:25,1,0.03,0.0,-73.99942800000001,40.712158,-73.999161,40.712421,40.712064,-73.999914,33.0,40.713642,-73.999160,165.0
29,2010000030,2010-01-01 00:00:26,2010-01-01 00:06:36,2,6.17,0.7,-74.000824,40.737251,-73.998329,40.729549,40.736506,-74.000473,101.0,40.730282,-73.996940,175.0
30,2010000031,2010-01-01 00:00:27,2010-01-01 00:04:15,1,3.8,0.5,-73.95255999999999,40.714298,-73.94747199999999,40.714977000000005,40.712846,-73.953925,162.0,40.715788,-73.947599,102.0
31,2010000032,2010-01-01 00:00:28,2010-01-01 00:08:51,2,8.38,1.8,-74.002014,40.750805,-74.008957,40.730881,40.750549,-74.001626,42.0,40.731443,-74.009903,83.0
